"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
53,85859943,"maxdalury (42/50)",0,150.80,"(2B) Chase Utley ,(OF) Jeff Francoeur ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(C) Michael McKenry ,(P) David Price ,(SS) Freddy Galvis ,(OF) Charlie Blackmon ,(1B) Ben Paulsen ,(P) Jacob deGrom "
53,85978503,"mahomes20 (1/50)",0,150.80,"(P) David Price ,(SS) Freddy Galvis ,(C) Buster Posey ,(2B) Wilmer Flores ,(OF) A.J. Pollock ,(1B) Darin Ruf ,(OF) Ender Inciarte ,(P) Jacob deGrom ,(3B) Maikel Franco ,(OF) Yasmany Tomas "
55,85976843,"Cush7676 (1/50)",0,149.90,"(OF) Jeff Francoeur ,(P) Clayton Kershaw ,(C) Michael McKenry ,(OF) Charlie Blackmon ,(2B) DJ LeMahieu ,(3B) Kyle Seager ,(1B) Darin Ruf ,(P) Jacob deGrom ,(SS) Brad Miller ,(OF) Yoenis Cespedes "
56,85860929,"Dallas0827 (1/50)",0,149.80,"(OF) Michael Cuddyer ,(OF) Carlos Gonzalez ,(2B) Martin Prado ,(OF) Adam Jones ,(1B) Chris Davis ,(C) Michael McKenry ,(P) David Price ,(3B) Manny Machado ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85860952,"Dallas0827 (2/50)",0,149.80,"(OF) Michael Cuddyer ,(OF) Carlos Gonzalez ,(2B) Martin Prado ,(OF) Adam Jones ,(1B) Chris Davis ,(C) Michael McKenry ,(P) David Price ,(3B) Manny Machado ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85860958,"Dallas0827 (3/50)",0,149.80,"(OF) Michael Cuddyer ,(OF) Carlos Gonzalez ,(2B) Martin Prado ,(OF) Adam Jones ,(1B) Chris Davis ,(C) Michael McKenry ,(P) David Price ,(3B) Manny Machado ,(P) Jacob deGrom ,(SS) Brad Miller "
56,85939173,"plord64 (2/50)",0,149.80,"(3B) Miguel Cabrera ,(C) Michael McKenry ,(P) David Price ,(SS) Freddy Galvis ,(OF) Charlie Blackmon ,(2B) DJ LeMahieu ,(OF) J.D. Martinez ,(OF) Darin Ruf ,(1B) Justin Bour ,(P) Jacob deGrom "
56,85939175,"plord64 (4/50)",0,149.80,"(3B) Miguel Cabrera ,(C) Michael McKenry ,(P) David Price ,(SS) Freddy Galvis ,(OF) Charlie Blackmon ,(2B) DJ LeMahieu ,(OF) J.D. Martinez ,(OF) Darin Ruf ,(1B) Justin Bour ,(P) Jacob deGrom "
56,85939177,"plord64 (6/50)",0,149.80,"(3B) Miguel Cabrera ,(C) Michael McKenry ,(P) David Price ,(SS) Freddy Galvis ,(OF) Charlie Blackmon ,(2B) DJ LeMahieu ,(OF) J.D. Martinez ,(OF) Darin Ruf ,(1B) Justin Bour ,(P) Jacob deGrom "
56,85939179,"plord64 (8/50)",0,149.80,"(3B) Miguel Cabrera ,(C) Michael McKenry ,(P) David Price ,(SS) Freddy Galvis ,(OF) Charlie Blackmon ,(2B) DJ LeMahieu ,(OF) J.D. Martinez ,(OF) Darin Ruf ,(1B) Justin Bour ,(P) Jacob deGrom "
